Position Id,Total Successful Passes All,Total Unsuccessful Passes All,Total Successful Passes Excl Crosses Corners,Successful Passes Own Half,Unsuccessful Passes Own Half,Successful Passes Opposition Half,Unsuccessful Passes Opposition Half,Successful Passes Defensive third,Unsuccessful Passes Defensive third,Successful Passes Middle third,Successful Passes Final third,Successful Short Passes,Successful Long Passes,Successful Dribbles,Successful Lay-Offs,Touches,Duels won,Duels lost,Aerial Duels won,Aerial Duels lost,Ground Duels won,Ground Duels lost,Tackles Won,Tackles Lost,Total Clearances,Interceptions,Recoveries,Total Fouls Conceded,Total Fouls Won,Saves Made,Turnovers,Dispossessed,Pass Forward,Pass Backward,Touches open play final third,Touches open play opp box,Touches open play opp six yards
6,27.81818182,6.545454545,27.81818182,16.36363636,0,11.45454545,6.545454545,3.272727273,0,14.72727273,9.818181818,27.81818182,0,0,6.545454545,47.45454545,3.272727273,4.909090909,0,0,3.272727273,4.909090909,3.272727273,0,0,0,6.545454545,1.636363636,0,0,0,3.272727273,1.636363636,14.72727273,18,0,0
6,23,5,23,3,0,20,5,0,0,11,12,22,1,0,4,47,4,14,1,2,3,12,1,0,0,4,6,6,2,0,0,4,1,11,29,7,1
6,26.20253165,7.974683544,26.20253165,7.974683544,0,18.2278481,7.974683544,0,0,11.39240506,14.81012658,25.06329114,1.139240506,1.139240506,6.835443038,41.01265823,3.417721519,3.417721519,2.278481013,1.139240506,1.139240506,2.278481013,0,0,0,0,1.139240506,0,0,0,0,1.139240506,2.278481013,18.2278481,23.92405063,7.974683544,0
6,58,4,57,14,1,43,3,2,0,28,27,55,2,2,6,86,6,10,3,0,3,10,0,0,1,0,2,2,1,0,0,2,6,22,46,12,0
6,14.21052632,23.68421053,14.21052632,9.473684211,0,4.736842105,18.94736842,0,0,9.473684211,4.736842105,14.21052632,0,0,0,52.10526316,14.21052632,4.736842105,14.21052632,4.736842105,0,0,0,0,0,0,4.736842105,0,0,0,0,0,9.473684211,0,33.15789474,4.736842105,0
6,6,16,6,2,3,4,11,0,0,2,4,6,0,0,0,31,5,11,3,8,2,3,0,1,0,0,2,2,1,0,0,1,10,1,19,3,2
6,18.8372093,8.372093023,17.79069767,5.23255814,1.046511628,12.55813953,4.186046512,0,0,10.46511628,7.325581395,17.79069767,0,2.093023256,1.046511628,45,5.23255814,8.372093023,1.046511628,3.139534884,4.186046512,5.23255814,1.046511628,0,1.046511628,1.046511628,5.23255814,2.093023256,1.046511628,0,0,2.093023256,1.046511628,8.372093023,28.25581395,4.186046512,0
6,19,8,18,3,2,15,5,1,0,7,10,18,0,1,0,40,7,12,3,8,4,4,1,0,0,1,8,3,2,0,0,1,9,6,19,3,0
6,12,6,12,0,3,12,2,0,0,5,7,11,1,1,3,24,1,8,0,3,1,5,0,0,0,0,2,1,0,0,0,0,3,3,12,1,0
6,14,11,14,4,3,10,7,0,0,8,6,14,0,1,0,35,7,2,2,2,5,0,1,0,0,0,4,0,3,0,0,0,6,5,18,4,0
6,21,12,19,4,1,15,6,3,1,7,9,18,1,1,0,48,5,7,1,1,4,6,1,0,0,0,5,1,2,0,0,1,9,11,29,5,0
